date	Complete-Consultations	Pending-Consultations	No-Show-Consultations	Cancelled-Consultations	Total-Check-Users	Total-Ask-Users
20160418	74	0	8	43	2	147
20160419	62	0	11	56	1	138
20160420	68	0	4	30	4	140
20160421	49	0	9	42	2	125
20160423	30	0	3	47	1	131
20160425	64	0	3	69	3	194
20160426	61	0	2	67	1	167
20160428	35	0	4	53	171	117
20160429	54	0	1	43	75	126
20160503	68	0	10	50	165	134
20160504	77	0	12	45	229	124
20160505	41	0	5	39	266	151
20160506	57	0	9	41	292	153
20160507	40	0	5	32	308	122
20160508	24	0	7	40	343	140
20160509	66	0	5	45	312	169
20160510	72	0	1	43	287	158
20160511	68	0	6	47	721	212
20160512	64	0	7	38	347	138
20160513	54	0	5	17	219	129
20160514	33	0	3	25	435	134
20160515	12	0	3	32	280	136
20160516	68	0	3	28	259	114
20160517	63	0	2	35	246	129
20160518	57	0	2	32	288	129
20160519	42	0	4	31	231	120
20160520	50	0	1	14	183	90
20160521	34	0	2	16	176	71
20160522	28	0	1	26	233	126
20160523	53	0	1	30	228	143
20160524	62	0	1	30	208	105
20160525	63	0	5	21	180	106
20160526	47	0	4	18	297	134
20160527	63	0	13	29	183	73
20160528	39	0	3	18	178	93
20160529	32	0	3	15	152	85
20160530	31	0	3	23	213	99
20160531	48	0	6	28	227	107
20160601	62	0	2	24	232	117
20160602	51	0	1	27	177	98
20160603	48	0	5	21	177	89
20160604	32	0	3	17	287	115
20160605	17	0	3	22	374	119
20160606	54	0	4	34	366	129
20160607	60	0	6	37	472	166
20160608	73	0	6	18	374	125
20160609	49	0	7	22	363	132
20160610	50	0	4	19	318	122
20160611	39	0	3	32	1075	223
20160612	25	0	2	19	1052	193
20160613	63	0	3	42	1056	209
20160614	71	0	10	35	1276	225
20160615	84	0	8	32	1472	239
20160616	49	0	4	24	1017	187
20160617	63	0	7	48	1061	222
20160618	37	0	5	41	1401	215
20160619	27	0	4	27	1174	183
20160620	79	0	3	50	1383	248
20160621	82	0	8	40	1719	268
20160622	64	0	3	38	1142	218
20160623	44	0	13	26	960	180
20160624	37	0	1	22	806	163
20160625	37	0	5	24	1183	199
20160626	25	0	3	32	1365	233
20160627	63	1	6	25	1736	268
20160628	59	0	5	28	1147	184
20160629	68	0	5	33	977	187
20160630	51	0	4	26	756	139
20160701	48	0	10	16	546	136
20160702	31	0	3	18	519	110
20160703	22	0	2	21	604	133
20160704	64	0	4	29	654	163
20160705	52	1	4	18	605	124
20160706	60	1	4	21	509	120
20160707	47	1	2	25	519	112
20160708	49	0	12	14	433	101
20160709	34	1	2	12	378	94
20160710	27	0	6	11	433	99
20160711	9	0	0	0	40	8